SETTLEMENTDATE,DUID,INITIALMW,TOTALCLEARED,RAMPDOWNRATE,RAMPUPRATE,LOWER1SEC,RAISE1SEC,TOTAL_RAISE1SEC,RAISE1SEC_MARKET_SHARE_PCT
2023-10-09 13:20:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 13:20:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:20:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:20:00,ASRMGE03,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:20:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:20:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:25:00,VENUS1,0,0,0,0,0,13.0,50.0,26.0
2023-10-09 13:25:00,ASNENC1,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 13:25:00,WALGRVG1,0.00093,0,600,600,0,6.0,50.0,12.0
2023-10-09 13:25:00,DRVIOT04,0,0,0,0,0,5.0,50.0,10.0
2023-10-09 13:25:00,QBYNBG1,0.86649,0,120,120,0,5.0,50.0,10.0
2023-10-09 13:25:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 13:25:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 13:25:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 13:25:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:25:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:25:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:25:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:30:00,VENUS1,0,0,0,0,0,13.0,50.0,26.0
2023-10-09 13:30:00,ASNENC1,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 13:30:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 13:30:00,DRVIOT04,0,0,0,0,0,5.0,50.0,10.0
2023-10-09 13:30:00,QBYNBG1,0,0,120,120,0,5.0,50.0,10.0
2023-10-09 13:30:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 13:30:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 13:30:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 13:30:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:30:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:30:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:30:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:35:00,VENUS1,0,0,0,0,0,13.0,50.0,26.0
2023-10-09 13:35:00,ASNENC1,0,0,0,0,0,9.0,50.0,18.0
2023-10-09 13:35:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 13:35:00,DRVIOT04,0,0,0,0,0,5.0,50.0,10.0
2023-10-09 13:35:00,QBYNBG1,0.0695,0,120,120,0,5.0,50.0,10.0
2023-10-09 13:35:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 13:35:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 13:35:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:35:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:35:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:35:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:40:00,VENUS1,0,0,0,0,0,13.0,50.0,26.0
2023-10-09 13:40:00,ASNENC1,0,0,0,0,0,9.0,50.0,18.0
2023-10-09 13:40:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 13:40:00,DRVIOT04,0,0,0,0,0,5.0,50.0,10.0
2023-10-09 13:40:00,QBYNBG1,0.0035,0,120,120,0,5.0,50.0,10.0
2023-10-09 13:40:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 13:40:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 13:40:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:40:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:40:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:40:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:45:00,VENUS1,0,0,0,0,0,13.0,50.0,26.0
2023-10-09 13:45:00,ASNENC1,0,0,0,0,0,9.0,50.0,18.0
2023-10-09 13:45:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 13:45:00,DRVIOT04,0,0,0,0,0,5.0,50.0,10.0
2023-10-09 13:45:00,QBYNBG1,0,0,120,120,0,5.0,50.0,10.0
2023-10-09 13:45:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 13:45:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 13:45:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:45:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:45:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:45:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:50:00,VENUS1,0,0,0,0,0,13.0,50.0,26.0
2023-10-09 13:50:00,ASNENC1,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 13:50:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 13:50:00,DRVIOT04,0,0,0,0,0,5.0,50.0,10.0
2023-10-09 13:50:00,QBYNBG1,0,0,120,120,0,5.0,50.0,10.0
2023-10-09 13:50:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 13:50:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 13:50:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 13:50:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:50:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:50:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:50:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:55:00,VENUS1,0,0,0,0,0,13.0,50.0,26.0
2023-10-09 13:55:00,ASNENC1,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 13:55:00,WALGRVG1,0.38814,0,600,600,0,6.0,50.0,12.0
2023-10-09 13:55:00,DRVIOT04,0,0,0,0,0,5.0,50.0,10.0
2023-10-09 13:55:00,QBYNBG1,0.0695,0,120,120,0,5.0,50.0,10.0
2023-10-09 13:55:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 13:55:00,LBBG1,0.15,0,300,300,0,4.0,50.0,8.0
2023-10-09 13:55:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 13:55:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:55:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 13:55:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 13:55:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:00:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 14:00:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 14:00:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 14:00:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 14:00:00,QBYNBG1,0,0,120,120,0,5.0,50.0,10.0
2023-10-09 14:00:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 14:00:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 14:00:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 14:00:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:00:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:00:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:00:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:05:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 14:05:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 14:05:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 14:05:00,WALGRVG1,0.01955,0,600,600,0,6.0,50.0,12.0
2023-10-09 14:05:00,QBYNBG1,0.0305,0,120,120,0,5.0,50.0,10.0
2023-10-09 14:05:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 14:05:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 14:05:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 14:05:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:05:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:05:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:05:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:10:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 14:10:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 14:10:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 14:10:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 14:10:00,QBYNBG1,0.0165,0,120,120,0,5.0,50.0,10.0
2023-10-09 14:10:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 14:10:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 14:10:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 14:10:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:10:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:10:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:10:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:15:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 14:15:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 14:15:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 14:15:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 14:15:00,QBYNBG1,0,0,120,120,0,5.0,50.0,10.0
2023-10-09 14:15:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 14:15:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 14:15:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 14:15:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:15:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:15:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:15:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:20:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 14:20:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 14:20:00,WALGRVG1,0,0,600,600,0,7.0,50.0,14.0
2023-10-09 14:20:00,DRVIOT04,0,0,0,0,0,6.0,50.0,12.0
2023-10-09 14:20:00,QBYNBG1,0,0,120,120,0,5.0,50.0,10.0
2023-10-09 14:20:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 14:20:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 14:20:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 14:20:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:20:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:20:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:20:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:25:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 14:25:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 14:25:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 14:25:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 14:25:00,QBYNBG1,0,0,120,120,0,5.0,50.0,10.0
2023-10-09 14:25:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 14:25:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 14:25:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 14:25:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:25:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:25:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:25:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:30:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 14:30:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 14:30:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 14:30:00,WALGRVG1,4.8988,0,600,600,0,6.0,50.0,12.0
2023-10-09 14:30:00,QBYNBG1,1.56348,0,120,120,0,5.0,50.0,10.0
2023-10-09 14:30:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 14:30:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 14:30:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 14:30:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:30:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:30:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:30:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:35:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 14:35:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 14:35:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 14:35:00,WALGRVG1,0.04747,0,600,600,0,6.0,50.0,12.0
2023-10-09 14:35:00,QBYNBG1,0,0,120,120,0,5.0,50.0,10.0
2023-10-09 14:35:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 14:35:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 14:35:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 14:35:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:35:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:35:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:35:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:40:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 14:40:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 14:40:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 14:40:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 14:40:00,QBYNBG1,0.85549,0,120,120,0,5.0,50.0,10.0
2023-10-09 14:40:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 14:40:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 14:40:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 14:40:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:40:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:40:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:40:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:45:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 14:45:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 14:45:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 14:45:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 14:45:00,QBYNBG1,1.85947,0,120,120,0,5.0,50.0,10.0
2023-10-09 14:45:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 14:45:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 14:45:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 14:45:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:45:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:45:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:45:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:50:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 14:50:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 14:50:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 14:50:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 14:50:00,QBYNBG1,1.77447,0,120,120,0,5.0,50.0,10.0
2023-10-09 14:50:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 14:50:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 14:50:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 14:50:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:50:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:50:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:50:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:55:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 14:55:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 14:55:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 14:55:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 14:55:00,QBYNBG1,1.71547,0,120,120,0,5.0,50.0,10.0
2023-10-09 14:55:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 14:55:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 14:55:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 14:55:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:55:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 14:55:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 14:55:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 15:00:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 15:00:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 15:00:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 15:00:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 15:00:00,QBYNBG1,0,0,120,120,0,5.0,50.0,10.0
2023-10-09 15:00:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 15:00:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 15:00:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 15:00:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 15:00:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 15:00:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 15:00:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 15:05:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 15:05:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 15:05:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 15:05:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
